model_id,model_78_name,billing_type_78,input_78_global,output_78_global,best_78_group,best_78_multiplier,best_78_effective_input,best_78_effective_output,best_78_effective_total,geekai_match,geekai_display_name,geekai_context,geekai_best_tier,geekai_best_input,geekai_best_output,geekai_best_total,recommended_vendor,cheaper_by_total,ratio_78_vs_geekai,comparison_note
gpt-5-codex-medium,gpt-5-codex-medium,按量计费,18.75,150,vip-1-codex,0.25,4.6875,37.5,42.1875,no,,,,,,,no_exact_match,,,
gpt-5-codex-mini,gpt-5-codex-mini,按量计费,18.75,150,vip-1-codex,0.25,4.6875,37.5,42.1875,no,,,,,,,no_exact_match,,,
gpt-5-codex-mini-high,gpt-5-codex-mini-high,按量计费,18.75,150,vip-1-codex,0.25,4.6875,37.5,42.1875,no,,,,,,,no_exact_match,,,
gpt-5-codex-mini-medium,gpt-5-codex-mini-medium,按量计费,18.75,150,vip-1-codex,0.25,4.6875,37.5,42.1875,no,,,,,,,no_exact_match,,,
gpt-5-mini,gpt-5-mini,按量计费,18.75,150,vip-1-codex,0.25,4.6875,37.5,42.1875,yes,GPT-5 mini,400K,low,0.188,1.5,1.688,GeekAI,40.4995,24.992595,GeekAI lower on both input and output
gpt-5-mini-2025-08-07,gpt-5-mini-2025-08-07,按量计费,18.75,150,vip-1-codex,0.25,4.6875,37.5,42.1875,no,,,,,,,no_exact_match,,,
gpt-5-nano,gpt-5-nano,按量计费,18.75,150,vip-1-codex,0.25,4.6875,37.5,42.1875,yes,GPT-5 nano,400K,low,0.038,0.3,0.338,GeekAI,41.8495,124.815089,GeekAI lower on both input and output
gpt-5-nano-2025-08-07,gpt-5-nano-2025-08-07,按量计费,18.75,150,vip-1-codex,0.25,4.6875,37.5,42.1875,no,,,,,,,no_exact_match,,,
gpt-5-pro,gpt-5-pro,按量计费,18.75,150,vip-1-codex,0.25,4.6875,37.5,42.1875,yes,GPT-5 Pro,400K,low,11.25,90,101.25,78,59.0625,0.416667,78 lower on both input and output
gpt-5-pro-2025-10-06,gpt-5-pro-2025-10-06,按量计费,18.75,150,vip-1-codex,0.25,4.6875,37.5,42.1875,no,,,,,,,no_exact_match,,,
gpt-5.1,gpt-5.1,按量计费,0.438,3.5,vip-1-codex,0.25,0.1095,0.875,0.9845,yes,GPT-5.1,400K,low,0.938,7.5,8.438,78,7.4535,0.116675,78 lower on both input and output
gpt-5.1-2025-11-13,gpt-5.1-2025-11-13,按量计费,18.75,150,vip-1-codex,0.25,4.6875,37.5,42.1875,no,,,,,,,no_exact_match,,,
gpt-5.1-chat-latest,gpt-5.1-chat-latest,按量计费,18.75,150,vip-1-codex,0.25,4.6875,37.5,42.1875,no,,,,,,,no_exact_match,,,
gpt-5.1-codex,gpt-5.1-codex,按量计费,0.438,3.5,vip-1-codex,0.25,0.1095,0.875,0.9845,yes,GPT-5.1 Codex,400K,low,0.938,7.5,8.438,78,7.4535,0.116675,78 lower on both input and output
gpt-5.1-codex-max,gpt-5.1-codex-max,按量计费,0.438,3.5,vip-1-codex,0.25,0.1095,0.875,0.9845,yes,GPT-5.1 Codex Max,400K,low,0.938,7.5,8.438,78,7.4535,0.116675,78 lower on both input and output
gpt-5.1-codex-max-high,gpt-5.1-codex-max-high,按量计费,18.75,150,vip-1-codex,0.25,4.6875,37.5,42.1875,no,,,,,,,no_exact_match,,,
gpt-5.1-codex-max-xhigh,gpt-5.1-codex-max-xhigh,按量计费,18.75,150,vip-1-codex,0.25,4.6875,37.5,42.1875,no,,,,,,,no_exact_match,,,
gpt-5.1-codex-mini,gpt-5.1-codex-mini,按量计费,0.163,1.3,vip-1-codex,0.25,0.04075,0.325,0.36575,yes,GPT-5.1 Codex Mini,400K,low,0.375,3,3.375,78,3.00925,0.10837,78 lower on both input and output
gpt-5.2,gpt-5.2,按量计费,0.438,3.5,vip-1-codex,0.25,0.1095,0.875,0.9845,yes,GPT-5.2,400K,low,1.313,10.5,11.813,78,10.8285,0.08334,78 lower on both input and output
gpt-5.2-2025-12-11,gpt-5.2-2025-12-11,按量计费,18.75,150,vip-1-codex,0.25,4.6875,37.5,42.1875,no,,,,,,,no_exact_match,,,
gpt-5.2-chat-latest,gpt-5.2-chat-latest,按量计费,18.75,150,vip-1-codex,0.25,4.6875,37.5,42.1875,no,,,,,,,no_exact_match,,,
gpt-5.2-codex,gpt-5.2-codex,按量计费,0.438,3.5,vip-1-codex,0.25,0.1095,0.875,0.9845,yes,GPT-5.2 Codex,400K,low,1.313,10.5,11.813,78,10.8285,0.08334,78 lower on both input and output
gpt-5.2-codex-high,gpt-5.2-codex-high,按量计费,18.75,150,vip-1-codex,0.25,4.6875,37.5,42.1875,no,,,,,,,no_exact_match,,,
gpt-5.2-codex-low,gpt-5.2-codex-low,按量计费,18.75,150,vip-1-codex,0.25,4.6875,37.5,42.1875,no,,,,,,,no_exact_match,,,
gpt-5.2-codex-medium,gpt-5.2-codex-medium,按量计费,18.75,150,vip-1-codex,0.25,4.6875,37.5,42.1875,no,,,,,,,no_exact_match,,,
gpt-5.2-codex-xhigh,gpt-5.2-codex-xhigh,按量计费,18.75,150,vip-1-codex,0.25,4.6875,37.5,42.1875,no,,,,,,,no_exact_match,,,
