group_name,group_multiplier,group_multiplier_raw,group_disabled,model_id,display_name,billing_type,base_input,base_output,effective_input,effective_output,raw_price_lines,page_number
vip-1-codex,0.25,x0.25,False,gpt-5.2-codex-medium,gpt-5.2-codex-medium,按量计费,18.75,150,4.6875,37.5,输入 ¥18.7500/M || 输出 ¥150.0000/M,3
vip-1-codex,0.25,x0.25,False,gpt-5.2-codex-xhigh,gpt-5.2-codex-xhigh,按量计费,18.75,150,4.6875,37.5,输入 ¥18.7500/M || 输出 ¥150.0000/M,3
vip-1-codex,0.25,x0.25,False,gpt-5.2-pro,gpt-5.2-pro,按量计费,18.75,150,4.6875,37.5,输入 ¥18.7500/M || 输出 ¥150.0000/M,3
vip-1-codex,0.25,x0.25,False,gpt-5.2-pro-2025-12-11,gpt-5.2-pro-2025-12-11,按量计费,18.75,150,4.6875,37.5,输入 ¥18.7500/M || 输出 ¥150.0000/M,3
vip-1-codex,0.25,x0.25,False,gpt-5.3-codex,gpt-5.3-codex,按量计费,0.438,3.5,0.1095,0.875,输入 ¥0.4380/M || 输出 ¥3.5000/M,3
vip-1-codex,0.25,x0.25,False,gpt-5.3-codex-high,gpt-5.3-codex-high,按量计费,0.45,3.6,0.1125,0.9,输入 ¥0.4500/M || 输出 ¥3.6000/M,3
vip-1-codex,0.25,x0.25,False,gpt-5.3-codex-low,gpt-5.3-codex-low,按量计费,0.45,3.6,0.1125,0.9,输入 ¥0.4500/M || 输出 ¥3.6000/M,3
vip-1-codex,0.25,x0.25,False,gpt-5.3-codex-medium,gpt-5.3-codex-medium,按量计费,0.45,3.6,0.1125,0.9,输入 ¥0.4500/M || 输出 ¥3.6000/M,3
vip-1-codex,0.25,x0.25,False,gpt-5.3-codex-spark,gpt-5.3-codex-spark,按量计费,0.55,4.4,0.1375,1.1,输入 ¥0.5500/M || 输出 ¥4.4000/M,3
vip-1-codex,0.25,x0.25,False,gpt-5.3-codex-xhigh,gpt-5.3-codex-xhigh,按量计费,0.45,3.6,0.1125,0.9,输入 ¥0.4500/M || 输出 ¥3.6000/M,3
