group_name,group_multiplier,group_disabled,model_id,price_kind,charge_type,unit,label,raw_line,base_amount_1,base_amount_2,effective_amount_1,effective_amount_2
gemini-image,1.65,False,gemini-3-flash-preview,输出,paid,M,,输出 ¥4.9500/M,4.95,,8.1675,
gemini-image,1.65,False,gemini-3-pro-preview,输入,paid,M,,输入 ¥3.3000/M,3.3,,5.445,
gemini-image,1.65,False,gemini-3-pro-preview,输出,paid,M,,输出 ¥19.8000/M,19.8,,32.67,
gemini-image,1.65,False,gemini-3-pro-preview-11-2025,输入,paid,M,,输入 ¥3.3000/M,3.3,,5.445,
gemini-image,1.65,False,gemini-3-pro-preview-11-2025,输出,paid,M,,输出 ¥19.8000/M,19.8,,32.67,
gemini-image,1.65,False,gemini-3-pro-preview-thinking,输入,paid,M,,输入 ¥3.3000/M,3.3,,5.445,
gemini-image,1.65,False,gemini-3-pro-preview-thinking,输出,paid,M,,输出 ¥19.8000/M,19.8,,32.67,
gemini-image,1.65,False,gemini-3.1-flash-lite-preview,输入,paid,M,,输入 ¥123.7500/M,123.75,,204.1875,
gemini-image,1.65,False,gemini-3.1-flash-lite-preview,输出,paid,M,,输出 ¥495.0000/M,495,,816.75,
gemini-image,1.65,False,gemini-3.1-pro-preview,输入,paid,M,,输入 ¥3.3000/M,3.3,,5.445,
gemini-image,1.65,False,gemini-3.1-pro-preview,输出,paid,M,,输出 ¥19.8000/M,19.8,,32.67,
gemini-image,1.65,False,gemini-3.1-pro-preview-thinking,输入,paid,M,,输入 ¥3.3000/M,3.3,,5.445,
gemini-image,1.65,False,gemini-3.1-pro-preview-thinking,输出,paid,M,,输出 ¥19.8000/M,19.8,,32.67,
kiro,0.35,False,claude-haiku-4-5-20251001,输入,paid,M,,输入 ¥0.4900/M,0.49,,0.1715,
kiro,0.35,False,claude-haiku-4-5-20251001,输出,paid,M,,输出 ¥2.4500/M,2.45,,0.8575,
kiro,0.35,False,claude-opus-4-5-20251101,输入,paid,M,,输入 ¥2.4500/M,2.45,,0.8575,
kiro,0.35,False,claude-opus-4-5-20251101,输出,paid,M,,输出 ¥12.2500/M,12.25,,4.2875,
kiro,0.35,False,claude-opus-4-6,输入,paid,M,,输入 ¥2.4500/M,2.45,,0.8575,
kiro,0.35,False,claude-opus-4-6,输出,paid,M,,输出 ¥12.2500/M,12.25,,4.2875,
kiro,0.35,False,claude-sonnet-4-5-20250929,输入,paid,M,,输入 ¥1.7500/M,1.75,,0.6125,
kiro,0.35,False,claude-sonnet-4-5-20250929,输出,paid,M,,输出 ¥8.7500/M,8.75,,3.0625,
kiro,0.35,False,claude-sonnet-4-6,输入,paid,M,,输入 ¥1.4700/M,1.47,,0.5145,
kiro,0.35,False,claude-sonnet-4-6,输出,paid,M,,输出 ¥7.3500/M,7.35,,2.5725,
new-cc,1.5,False,claude-haiku-4-5,输入,paid,M,,输入 ¥60.0000/M,60,,90,
